Table of Source Codes used in CRUTEM station database,,,,,,,,,
,,,,,,,,,
This table corresponds to the two-digit source codes are used in version CRUTEM.5.0.0.0 and all earlier versions.,,,,,,,,,
,,,,,,,,,
"Only an overall source code is given for each station, which indicates the dominant source.",,,,,,,,,
"For some stations, all values will have come from that single source.",,,,,,,,,
"For other stations, values will have come from multiple sources, and the overall source code just indicates the dominant source.",,,,,,,,,
,,,,,,,,,
"(See separate table for the six-digit source codes to be used in version CRUTEMsdb.5.1.0.0 and later, and for which individual source codes are also given for each monthly value.)",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"For each source, a homogeneity indicator is given, together with approximate start and end years of the period to which homogenisation may have been applied (in some cases this may be unknown or too complex to express as a simple start and end year), and any further comments.",,,,,,,,,
,,,,,,,,,
Homogeneity indicators:,,,,,,,,,
HOM00=homogeneity has not been assessed or is unknown,,,,,,,,,
"HOM01=homogeneity not assessed, but data comes from a reliable source (e.g. an NMS or WWR) that probably checked for obvious problems (in the sense that they wouldn't have provided series which had obviously problems).",,,,,,,,,
"HOM02=homogeneity assessed and inhomogeneities corrected at source (by NMS or a regional effort in e.g. Nordic countries, China etc.) but method details were not available to us",,,,,,,,,
HOM03=homogeneity assessed and inhomogeneities corrected at source via documented methods,,,,,,,,,
HOM04=homogeneity assessed and inhomogeneities corrected by CRU using documented methods,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source code table,,,,,,,,,
,,,,,,,,,
source_code,source_name,source_region,source_desc,source_ref,source_link,hom_cat,hom_start,hom_end,hom_comment
0,Not known,,Not known,,,HOM00,,,
1,University of Melbourne thesis,S E Australia,Early Australian series adjusted to be compatible  with BoM's ACORN 2 reference climate series,,http://www.bom.gov.au/jshess/docs/2012/ashcroft.pdf,HOM03,1910,Ongoing,Homogenized? Partial ; Not all later subsets from ACORN - thus not all homogenized!
10,WWR/CRU,Global,1980s global temperature database construction by the Climatic Research Unit - many under new Scodes,"Jones (1994), Jones & Moberg (2003) and Brohan et al. (2006); homogeneity of sites assessed in Jones et al. (1985, 1986).",TR022 and TR027 - publications at http://www.cru.uea.ac.uk/st/ - also held by CRU members,###############,,,Homogenized? Yes # ; Mostly by comparison with reference series - documentation produced
11,University of Arkansas,Manhattan,Long daily temperature series for Kansas,,https://doi.org/10.1175/2009JCLI2445.1,HOM03,,,Homogenized? Yes ; A complex compilation of records from a wide geographical region
30,GHCN v2,Global (part),Global Historical Climatology Network (GHCN v2) dataset is now superseded by GHCN v4,,https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-2,HOM03,,,"Homogenized? Yes ; Subject to series length, automated homohenization used PHA"
31,GHCN v2,Global (part),Global Historical Climatology Network (GHCN v2) dataset is now superseded by GHCN v4,,https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-2,HOM03,,,"Homogenized? Yes ; Subject to series length, automated homohenization used PHA"
32,DECADE Project,Bolivia/Peru,Homogenized Tx and Tn series,,https://www.geography.unibe.ch/research/climatology_group/research_projects/decade/index_eng.html,HOM03,,,Homogenized? Yes ; ACMANT3 homogenization
33,NACD,N Atlantic,North Atlantic Climatological Dataset - several variables included,Frich et al. (1996),https://www.dmi.dk/fileadmin/Rapporter/SR/sr96-1.pdf,HOM03,,ca. 1990,Homogenized? Yes ; SNHT homogenization
34,NORDKLIM,Nordic countries,Nordic region climate data - several variables included,Tuomenvirta et al. (2001),https://www.met.no/publikasjoner/met-report/met-report-2001/_/attachment/download/4d30d9f1-5a34-4ee3-916c-777d92343a50:539d36aea91a7d0f28042339b7b7b745bba20b81/MET-report-08-2001.pdf,HOM03,ca. 1890,ca. 2000,Homogenized? Yes ; SNHT homogenization?
35,GloSAT,Global,Currently a source code indicating work in progress for the GloSAT Project,,,,,,Homogenized? Yes
36,CHTD,Canada,Canadian Historical Temperature Database - see AHCCD below,Vincent & Gullett (1999),https://doi.org/10.1002/(SICI)1097-0088(199910)19:12<1375::AID-JOC427>3.0.CO;2-0,HOM03,,,Homogenized? Yes ; Canadian Regression Model
37,WWR,Global,World Weather Records decadal release - processed 2006 - decade 1991-2000,,https://www.ncdc.noaa.gov/wdcmet/data-access-search-viewer-tools/world-weather-records-wwr-clearinghouse,HOM01,,,Homogenized? No ; WWR series not without problems
38,NMAs (various),,Series acquired from various academic visitors to CRU,,,HOM00,,,Homogenized? No
39,IRI,Ethiopia,"Ethiopian series through a request to the International Research Inst., New York",,https://iri.columbia.edu/,HOM01,,,Homogenized? No ; Data came from synoptic series
40,BoM,Australia,BoM high quality daily dataset - mostly overwritten by ACORN,,ftp://ftp.bom.gov.au/anon/home/ncc/www/change/HQdailyT/,HOM03,1910,,Homogenized? Yes
41,NIWA,New Zealand,13 long homog. series - several of these have been overwritten- see SC88 below,,https://niwa.co.nz/our-science/climate/information-and-resources/nz-temp-record/review/changes/seven-station-series-temperature-data,HOM03,,,Homogenized? Yes ; Rhoades and Salinger homogenization
42,AHCCD,Canada,Adjusted and Homogenized Canadian Climate Data reference temperature series (see below),,10.1175/1520-0442(2002)015<1322:HODTOC>2.0.CO;2,HOM03,,,Homogenized? Yes ; Multiple linear regression and penalized maximal test > homogeneity
